planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
79 Cet Ab,0.215,,0.35,,79 Cet A,1.01,1.0,7.76,5533.0
81 Cet b,5.3,,2.5,,81 Cet,2.4,11.0,,
82 Eri b,0.00887,,0.127,,82 Eri,0.813,0.9,14.0,5490.0
82 Eri c,0.00793,,0.225,,82 Eri,0.813,0.9,14.0,5490.0
82 Eri d,0.01108,,0.364,,82 Eri,0.813,0.9,14.0,5490.0
82 Eri e,0.01501,,0.509,,82 Eri,0.813,0.9,14.0,5490.0
83 Leo Bb,0.0802,,0.123,,83 Leo B,0.83,0.96,4.0,4740.0
83 Leo Bc,0.0563,,5.4,,83 Leo B,0.83,0.96,4.0,4740.0
8 Umi b,1.65,,0.462,,8 Umi,1.8,9.9,1.7,4847.4
94 Cet Ab,1.37,,1.305,,94 Cet A,1.34,1.93,8.91,5984.0
AB Aur b,9.0,,93.9,,AB Aur,2.4,,0.002,
AB Dor C b,13.0,,0.58,,AB Dor C,0.072,,,
AB Pic b,13.5,1.75,275.0,1700.0,AB Pic,,,0.03,5285.0
AD 3116 b,54.2,1.02,,,AD 3116,0.276,0.29,,3200.0
AE 1 b,21.0,,0.0002468,,AE 1,1.31,0.01,,14000.0
AF Lep b,2.8,1.33,8.2,1800.0,AF Lep,1.2,1.25,0.024,6130.0
AL Com b,40.0,,0.00249,,AL Com,0.6,0.01,,16300.0
Aldebaran b,,,,,Aldebaran,1.13,45.1,6.6,4055.0
alf Ari b,1.8,,1.2,,alf Ari,1.5,13.9,,4553.0
AS 205 A b,19.25,,0.162,,AS 205A,0.9,3.7,,4300.0
ASASSN-16kr b,42.0,1.05,0.003,,ASASSN-16kr,0.952,0.0083,,
ASASSN-17jf b,60.0,1.12,0.0026,,ASASSN-17jf,0.669,0.012,,
AU Mic b,0.116,0.4571,0.08305,569.5,AU Mic,0.5,0.75,0.022,3700.0
AU Mic c,0.101,0.28,0.1417,436.0,AU Mic,0.5,0.75,0.022,3700.0
AU Mic d,0.003187,,,,AU Mic,0.5,0.75,0.022,3700.0
b Cen b,10.9,,556.0,,b Cen,5.5,,0.015,
BD-00 4475 b,23.05,,1.48,,BD-00 4475,,,,
BD+03 2562 b,6.4,,1.3,,BD+03 2562,1.14,32.35,5.25,4095.0
BD-06 1339 c,0.17,,0.435,,BD-06 1339,0.7,,4.4,4324.0
BD-06 1339 d,0.0582,,1.06,,BD-06 1339,0.7,,4.4,4324.0
BD-06 1339 e,0.0104,,0.03,,BD-06 1339,0.7,,4.4,4324.0
BD-08 2823 b,0.045,,0.056,,BD-08 2823,0.74,,4.5,4746.0
BD-08 2823 c,0.33,,0.68,,BD-08 2823,0.74,,4.5,4746.0
BD-10 3166 b,0.46,1.03,0.046,,BD-10 3166,0.99,1.71,4.18,5400.0
BD-11 4672 b,0.65,,2.36,,BD-11 4672,0.571,0.52,4.4,4475.0
BD-11 4672 c,0.04836,,0.3,,BD-11 4672,0.571,0.52,4.4,4475.0
BD+14 4559 b,1.47,,0.777,,BD+14 4559,0.86,,,5008.0
BD+15 2375 b,1.06,,0.576,,BD+15 2375,1.08,8.95,7.4,4649.0
BD+15 2940 b,1.11,,0.539,,BD+15 2940,1.1,14.7,7.1,4796.0
BD-17 63 b,5.1,,1.34,,BD-17 63,0.74,0.69,4.3,4714.0
BD+20 2457 b,21.42,,1.45,,BD+20 2457,2.8,,,4127.0
BD+20 2457 c,12.47,,2.01,,BD+20 2457,2.8,,,4127.0
BD+20 274 b,4.2,,1.3,,BD+20 274,0.8,17.3,,4296.0
BD+20 594 b,0.07,0.23,0.241,386.0,BD+20 594,1.67,1.08,3.34,5766.0
BD-21 397 c,4.8,,5.9,,BD-21 397,0.679,0.747,6.2,4051.0
BD+24 4697 b,53.0,,0.5,,BD+24 4697,0.75,,,5077.0
BD+26 1888 b,26.0,,1.19,,BD+26 1888,0.76,,,4748.0
BD+45 564 b,1.36,,0.83,,BD+45 564,,,,
BD+48 738 b,0.91,,1.0,,BD +48 738,0.74,11.0,,4414.0
BD+48 740 b,1.7,,1.7,,BD+48 740,1.09,10.33,,4534.0
BD+49 828 b,1.6,,4.2,,BD+49 828,1.52,7.6,2.3,4943.0
BD+55 362 b,0.72,,0.78,,BD+55 362,,,,
