planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-1634 b,0.01545,0.1597,924,TOI-1634,0.01545,0.502,0.45,,3550
TOI-1634 c,,,,TOI-1634,,0.502,0.45,,3550
TOI-163 b,1.22,1.489,1669,TOI-163,0.058,1.4352,1.648,1.823,6495
TOI-1669 b,0.0132,0.214,,TOI-1669,,,,,
TOI-1669 c,0.602,,,TOI-1669,,,,,
TOI-1670 b,0.0434,0.1838,1062,TOI-1670,0.103,1.21,1.316,2.53,6170
TOI-1670 c,0.58,0.97,684,TOI-1670,0.249,1.21,1.316,2.53,6170
TOI-1680 b,0.01001,0.13079,,TOI-1680,0.03144,0.18,0.213,,3224
TOI-1683 b,0.025,0.232,927,TOI-1683,0.036,,,,
TOI-1685 b,0.00988,0.157,980,TOI-1685,0.012,0.495,0.492,1.3,3434
TOI-1691 b,0.0459,0.2614,,TOI-1691,0.126,1.03,1,,5760
TOI-1693 b,0.0088,0.1258,764,TOI-1693,0.0226,0.49,0.46,,3499
TOI-1694 b,0.0809,0.48702,1137,TOI-1694,,,,,
TOI-1694 c,0.929,,,TOI-1694,,,,,
TOI-1695 b,0.0182,0.17,590,TOI-1695,0.033548,0.54,0.53,,3630
TOI-1696 b,0.1787,0.2891,533,TOI-1696,0.0235,0.255,0.2775,,3185
TOI-169 b,0.791,1.086,1715,TOI-169,0.03524,1.147,1.288,4.7,5880
TOI-1710 b,0.0579,0.4595,730,TOI-1710,0.164,0.984,0.968,4.2,5665
TOI-1716 b,0.0151,0.2471,,TOI-1716,0.081,,,,5878
TOI-1723 b,0.0327,3,,TOI-1723,0.114,1.03,1.09,,
TOI-1728 b,0.08426,0.4505,767,TOI-1728,0.0391,0.646,0.6243,7.1,3980
TOI-172 b,5.41,0.965,1198,TOI-172,0.0913,1.124,1.774,7.5,5644
TOI-1736 b,0.0374,0.2721,1186,TOI-1736,,1,1.408,,5656
TOI-1736 c,8.26,,274,TOI-1736,,1,1.408,,5656
TOI-1739 b,0.013,0.15122,756,TOI-1739,0.0742,0.79,0.751,6.3,4922
TOI-1742 b,0.0305,0.2114,,,0.154,,,,
TOI-1749 b,0.06,0.124,831,TOI-1749,0.0291,0.58,0.55,,3985
TOI-1749 c,0.0066,0.1891,673,TOI-1749,0.0443,0.58,0.55,,3985
TOI-1749 d,0.0135,0.2248,533,TOI-1749,0.0707,0.58,0.55,,3985
TOI-1751 b,0.0538,0.2489,,TOI-1751,0.2115,1.15,1.17,10,6116
TOI-1753 b,0.0522,0.2088,,TOI-1753,0.059,1.02,0.95,,5700
TOI-1758 b,0.0217,0.303,,TOI-1758,0.138,0.88,0.8,,5170
TOI-1759 b,0.0214,0.273,433,TOI-1759,0.1176,0.61,0.6,5,4036
TOI-1775,0.302,0.776,760,TOI-1775,0.082,0.9,0.84,,5251
TOI-1776 b,0.0044,0.125,,TOI-1776,0.0378,1.02,0.95,,5724
TOI-1778 b,0.02637,0.24133,,TOI-1778,0.072,1.17,1.31,3.85,6046
TOI-1789 b,0.7,1.4,1929,TOI-1789,0.04873,1.499,2.172,2.81,5984
TOI-178 b,0.00472,0.10278,1040,TOI-178,0.02607,0.65,0.651,7.1,4316
TOI-178 c,0.01501,0.1489,873,TOI-178,0.037,0.65,0.651,7.1,4316
TOI-178 d,0.00947,0.22946,690,TOI-178,0.0592,0.65,0.651,7.1,4316
TOI-178 e,0.01214,0.1969,600,TOI-178,0.0783,0.65,0.651,7.1,4316
TOI-178 f,0.02429,0.20403,521,TOI-178,0.1039,0.65,0.651,7.1,4316
TOI-178 g,0.0124,0.256,470,TOI-178,0.1275,0.65,0.651,7.1,4316
TOI-1794 b,0.0274,0.27,,TOI-1794,0.082,1.02,1.3,,5707
TOI-1798 b,0.0205,0.2462,,TOI-1798,0.074,0.87,0.78,,5165
TOI-1798 c,0.0176,0.125,2122,TOI-1798,0.0107,0.87,0.78,,5165
TOI-1799 b,0.013,0.1445,,TOI-1799,0.071,1,0.96,,5690
TOI-179 b,0.0758,0.2436,935,TOI-179,0.0476,0.807,0.798,0.3,5083
TOI-1801 b,0.018214,0.1865,490,TOI-1801,0.078,0.54,0.55,,3815
TOI-1806 b,,0.303,337,TOI-1806,0.0877,0.39,0.4,,3272
TOI-1807 b,0.00809,0.1222,1499,TOI-1807,0.012,0.75,0.68,0.18,4757
TOI-1811 b,0.974,1,961,TOI-1811,0.04393,0.819,0.773,6,4673
TOI-181 b,0.13,0.6183,877,TOI-181,0.05578,0.781,0.74,,4994
TOI-1820 b,2.3,1.12,1295,TOI-1820,0.069,1.04,1.51,11,5734
TOI-1824 b,0.0582,0.2346,577,TOI-1824,0.149,0.85,0.8,,5180
TOI-1842 b,0.214,1.04,,TOI-1842,0.1,1.46,2.02,2.49,6230
TOI-1853 b,0.040571,0.324465,1510.96,TOI-1853,,0.82,0.84,,4969
TOI-1855 b,1.133,1.65,1700,TOI-1855,0.02398,,,,
TOI-1859 b,,0.87,,TOI-1859,0.337,1.29,1.36,,6341
TOI-1860 b,0.0069,0.1169,1885,TOI-1860,0.0204,0.99,0.94,,5752
TOI-1899 b,0.67,0.99,378,TOI-1899,0.1525,0.627,0.607,7.4,3841
TOI-1937 b,2.01,1.247,2097,TOI-1937,0.01932,1.072,1.08,3.6,5814
TOI-198 b,,0.1285,370,TOI-198,0.1,0.467,0.44,5.3,3650
TOI-1994 b,22.1,1.22,2290,TOI-1994,0.0613,1.86,2.3,0.94,7700
TOI-199 b,0.17,0.81,,TOI-199,0.48,0.936,0.82,0.8,5255
TOI-199 c,0.28,,,TOI-199,0.8,0.936,0.82,0.8,5255
TOI-2000 b,0.0324,0.2355,1475,TOI-2000,0.0426,1.074,1.113,5.1,5607
TOI-2000 c,0.2382,0.711,1029,TOI-2000,0.0875,1.074,1.113,5.1,5607
TOI-2010 b,1.286,1.054,400,TOI-2010,0.5516,1.112,1.075,1.9,5929
TOI-2015 b,0.0418,0.3024,360,TOI-2015,0.03,0.342,0.333,6.8,3194
TOI-2015 c,0.0214,,,TOI-2015,,0.342,0.333,6.8,3194
TOI-2018 b,0.0289,0.2025,652,TOI-2018,,0.66,0.62,,4219
TOI-2018 c,0.0113,0.1374,,TOI-2018,,0.66,0.62,,4219
TOI-201 b,0.42,1,759,TOI-201,0.3,1.316,1.317,0.87,6394
TOI-2025 b,4.4,1.12,1186,TOI-2025,0.089,1.32,1.56,1.7,5880
TOI-203 b,,,,TOI-203,,,,,3209
TOI-2046 b,2.3,1.44,,TOI-2046,,1.153,1.237,0.45,6160
TOI-2048 b,,0.1838,,TOI-2048,0.19,0.83,0.79,0.3,5185
TOI-2068 b,0.0138,0.1624,521,TOI-2068,0.0632,0.559,0.535,7,3710
TOI-206 b,0.0069,0.116,910,TOI-206,0.0112,0.35,0.35,,3383
TOI-2076 b,,0.2928,870,TOI-2076,0.0631,0.85,0.761,0.204,5187
TOI-2076 c,,0.39594,734,TOI-2076,0.0885,0.85,0.761,0.204,5187
TOI-2076 d,,0.3693,648,TOI-2076,0.1138,0.85,0.761,0.204,5187
TOI-2081 b,0.016,0.182,488,TOI-2081,0.0752,0.54,0.534,,3800
TOI-2084 b,0.02121,0.2204,527,TOI-2084,0.05006,0.49,0.475,7.5,3550
TOI-2088 b,0.116,3.5,293,TOI-2088,0.472,0.8,0.83,,4902
