planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K,has_missing_data,planet_mass_mearth,planet_radius_rearth,planet_mass_kg,planet_radius_m,Luminosity_Lsun,Flux_inner_HZ_boundary,Flux_outer_HZ_boundary,HZ_inner_boundary_AU,HZ_outer_boundary_AU,HZ_middle_AU,HZ_subindex,escape_velocity,thermal_velocity,jeans_parameter,jeans_parameter_norm,water_subindex,planet_temperature_C,temperature_subindex,star_distance_m,radiation_I,relative_r,C12_stability_temperature,C12_stability_radiation,C12_stability_subindex,pre_seq_GY,main_seq_GY,main_seq_end_GY,mid_main_seq_GY,star_age_subindex,PO_HUI,HUI,density,ESI_r,ESI_d,ESI_ev,ESI_t,ESI,star_distance_AU_adj,PHI_substrate_subindex,PHI_energy_light,PHI_energy_temperature,PHI_energy_subindex,PHI_chemistry_subindex,PHI_liquid_medium_subindex,PHI
K2-169 b,,0.114,,K2-169,,0.99,0.92,,5548.0,True,,1.2768,,8143605.321599999,0.9644655077470021,1.3989775376,0.17987488817600003,0.8303056239902055,1.968235259061294,1.3992704415257498,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.010254441539222652,10.254441539222652,10.264695980761875,5.127220769611326,0.1,0.095,0.096123125,,1.2768,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-16 b,,0.18,658.0,K2-16,0.0667,0.67,0.66,,4761.0,True,,2.016,,12858324.192,0.23652077301481497,1.2273744699,0.18523335789900003,0.4389813827240158,0.9604924838989277,0.6997369333114718,0.015194266231999584,,765.5767558071876,,0.1,0.07359782608695653,385.0,0.09614583333333333,9978320000.0,1.8903602252815198e-22,53.21447724575842,0.09684000000000001,0.09999517852816807,0.09841758926408403,0.027215291681065984,27.215291681065985,27.24250697274705,13.607645840532992,0.1,0.07667110298327469,0.07818455516744513,,2.016,,,658.0,,0.032438478722928425,0.0,2,0,0.6666666666666666,0.0,0.0,0.00016068568378893036
K2-16 c,,0.227,485.0,K2-16,0.1229,0.67,0.66,,4761.0,True,,2.5423999999999998,,16215775.508799998,0.23652077301481497,1.2273744699,0.18523335789900003,0.4389813827240158,0.9604924838989277,0.6997369333114718,0.027996631482949758,,657.2743154927413,,0.1,0.07453804347826087,212.0,0.09975,18385840000.0,5.567913412475364e-23,15.673922759901393,0.16367924528301891,0.09999893260238703,0.13183908894270296,0.027215291681065984,27.215291681065985,27.24250697274705,13.607645840532992,0.1,0.08682475278078272,0.09072934848187378,,2.5423999999999998,,,485.0,,0.05977045030056826,0.0,2,0,0.6666666666666666,0.5,0.0,0.002402811414134754
K2-16 d,,0.092,,K2-16,,0.67,0.66,,4761.0,True,,1.0304,,6572032.3648,0.23652077301481497,1.2273744699,0.18523335789900003,0.4389813827240158,0.9604924838989277,0.6997369333114718,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.027215291681065984,27.215291681065985,27.24250697274705,13.607645840532992,0.1,0.095,0.096123125,,1.0304,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-170 b,,0.127,,K2-170,,0.96,0.98,,5748.0,True,,1.4223999999999999,,9072262.068799999,0.8633292175601102,1.4508580176,0.178635332976,0.7713931223985965,1.8686306294750936,1.320011875936845,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.01107444364322545,11.07444364322545,11.085518086868676,5.537221821612725,0.1,0.095,0.096123125,,1.4223999999999999,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-170 c,,0.161,,K2-170,,0.96,0.98,,5748.0,True,,1.8032,,11501056.6384,0.8633292175601102,1.4508580176,0.178635332976,0.7713931223985965,1.8686306294750936,1.320011875936845,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.01107444364322545,11.07444364322545,11.085518086868676,5.537221821612725,0.1,0.095,0.096123125,,1.8032,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-171 b,,0.24,,K2-171,,0.89,1.72,,5250.0,True,,2.6879999999999997,,17144432.255999997,0.6573611351550627,1.3278937499999999,0.18181368750000002,0.7035911182996081,1.6162466960401582,1.1599189071698832,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.013382121954378991,13.382121954378992,13.39550407633337,6.691060977189496,0.1,0.095,0.096123125,,2.6879999999999997,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-172 b,,0.149,,K2-172,,0.93,0.87,,5569.0,True,,1.6687999999999998,,10643835.0256,0.7700849125268933,1.4042674859,0.179742408059,0.7405329499702704,1.759393386876814,1.2499631684235422,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.011989266906352469,11.98926690635247,12.001256173258822,5.994633453176235,0.1,0.095,0.096123125,,1.6687999999999998,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-172 c,,0.286,,K2-172,,0.93,0.87,,5569.0,True,,3.2031999999999994,,20430448.438399997,0.7700849125268933,1.4042674859,0.179742408059,0.7405329499702704,1.759393386876814,1.2499631684235422,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.011989266906352469,11.98926690635247,12.001256173258822,5.994633453176235,0.1,0.095,0.096123125,,3.2031999999999994,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-173 b,,0.143,,K2-173,,0.88,0.84,,5580.0,True,,1.6015999999999997,,10215224.219199998,0.6311573146591747,1.40705316,0.1796732316,0.66975128717526,1.5931110356542961,1.131431161414778,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.013765542120067822,13.765542120067822,13.77930766218789,6.882771060033911,0.1,0.095,0.096123125,,1.6015999999999997,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
