planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K,has_missing_data,planet_mass_mearth,planet_radius_rearth,planet_mass_kg,planet_radius_m,Luminosity_Lsun,Flux_inner_HZ_boundary,Flux_outer_HZ_boundary,HZ_inner_boundary_AU,HZ_outer_boundary_AU,HZ_middle_AU,HZ_subindex,escape_velocity,thermal_velocity,jeans_parameter,jeans_parameter_norm,water_subindex,planet_temperature_C,temperature_subindex,star_distance_m,radiation_I,relative_r,C12_stability_temperature,C12_stability_radiation,C12_stability_subindex,pre_seq_GY,main_seq_GY,main_seq_end_GY,mid_main_seq_GY,star_age_subindex,PO_HUI,HUI,density,ESI_r,ESI_d,ESI_ev,ESI_t,ESI,star_distance_AU_adj,PHI_substrate_subindex,PHI_energy_light,PHI_energy_temperature,PHI_energy_subindex,PHI_chemistry_subindex,PHI_liquid_medium_subindex,PHI
WASP-109 b,0.91,1.443,1695.0,WASP-109,0.0463,1.346,2.6,6520.0,1695.0,False,289.19800000000004,16.1616,1.7271482956000002e+27,103080898.9392,2.914487624761011,1.0538192475,0.21342135247500002,1.6630221916377155,3.14109520351045,2.4020586975740827,0.0027840879233490268,47318.331485713956,1228.7418309379616,741.4938648519643,0.915458621624092,0.2718174175214179,1422.0,0.07454166666666667,6926480000.0,4.834228589949664e-21,1360.8567502649416,0.0761,0.09986441364704175,0.08798220682352087,0.004757593698693609,4.757593698693609,4.762351292392302,2.3787968493468044,0.09891411843963298,0.10720789947491749,0.09341854162960381,0.37644924225188486,16.1616,0.06853106782921554,4.230855000109417,1695.0,0.06402526218166046,0.07904276042955441,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-110 b,0.515,1.238,1134.0,WASP-110,0.0457,0.881,8.6,5400.0,1134.0,False,163.667,13.865599999999999,9.774520574e+26,88436696.3872,0.6337431384964289,1.1073189563999999,0.219838546764,0.7565197454700672,1.4431904242426934,1.0998550848563804,0.006040820517064505,38431.3096021377,1005.03762279121,731.0982310943431,0.9174492748968279,0.2753661285464421,861.0,0.08622916666666668,6836720000.0,1.078966147828162e-21,303.7337474342735,0.08732000000000001,0.09997012647588896,0.09364506323794448,0.01372651310287751,13.726513102877512,13.74023961598039,6.863256551438756,0.09910226948154861,0.11207668968993327,0.09882042028345196,0.3373722233538601,13.865599999999999,0.061417253981046846,3.4362432758231902,1134.0,0.10405822826714346,0.03638084945845007,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-111 b,1.85,1.442,2140.0,WASP-111,0.03914,1.85,2.6,6400.0,2140.0,False,587.9300000000001,16.150399999999998,3.5112355460000007e+27,103009463.80479999,9.158370782780638,1.03013924,0.2086081724,2.981680779776279,5.631996518939946,4.306838649358113,0.0013126824395647274,67490.8854235965,1380.6470806438272,1194.799130809455,0.8286554855896788,0.24768858864142348,1867.0,0.06527083333333333,5855344000.0,2.1257076159596112e-20,5983.961048681717,0.06720000000000001,0.09940210090563636,0.08330105045281819,0.0021481800499453837,2.148180049945384,2.150328229995329,1.074090024972692,0.09893368789983666,0.09930136855339528,0.08601513316998549,0.7669021856628891,16.150399999999998,0.1396114530332116,6.034535476857307,2140.0,0.05450089751086655,0.11844860013366412,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-112 b,0.88,1.191,1395.0,WASP-112,0.0382,1.002,10.6,5610.0,1395.0,False,279.664,13.3392,1.6702093408e+27,85079245.0704,1.0072187399739894,1.0791479475,0.216804539475,0.9660984920358838,1.8320893022692357,1.3990938971525597,0.003954048196421478,51218.55798127189,1114.7125638477391,1055.5988450523835,0.8553108594580542,0.258407036776358,1122.0,0.08079166666666668,5714720000.0,2.454279504352198e-21,690.8905461107623,0.0821,0.09993141060244194,0.09101570530122097,0.009950174476440005,9.950174476440004,9.960124650916445,4.975087238220002,0.0990666445268804,0.1066470202935095,0.09383094576184708,0.6474577235533967,13.3392,0.11786706995069043,4.579584387900119,1395.0,0.09326046287894603,0.03833763000133999,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-117 b,0.2755,1.021,1024.0,WASP-117,0.09459,1.17,4.6,6040.0,1024.0,False,87.55390000000001,11.435199999999998,5.228894015800001e+26,72935272.2224,1.7598234573848666,1.1209017344,0.221142508544,1.2529991620660372,2.397824321460557,1.825411741763297,0.007549087251106618,30952.07879465865,955.0492559498293,525.1678214841672,0.9568827575881382,0.2858238413870801,751.0,0.08852083333333334,14150663999.999998,6.993677475726699e-22,196.87511719667472,0.08952,0.0999808123923423,0.09475040619617114,0.006753600168325287,6.7536001683252875,6.760353768493613,3.3768000841626438,0.09899444872915755,0.11512772337936975,0.10154233187491109,0.32174248009831,11.4352,0.05857192219397254,2.7675058105482635,1024.0,0.12142860048758547,0.12548152167507104,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-118 b,0.514,1.44,1729.0,WASP-118,0.05453,1.7,1.17,6410.0,1729.0,False,163.3492,16.128,9.7555409224e+26,102866593.536,6.754856338968371,1.0514244779000002,0.213044953979,2.534655946990135,4.786205682416009,3.660430814703072,0.0021513767998671968,35599.36121607418,1241.0043073929044,411.44125587619675,0.9786601850449836,0.2874370232226102,1456.0,0.07383333333333333,8157688000.0,8.077408935810009e-21,2273.826375897931,0.07542,0.09977311622799136,0.08759655811399568,0.002653858092897476,2.653858092897476,2.6565119509903736,1.326929046448738,0.09893210469053075,0.10999007923206743,0.09545645542570956,0.21396348892616718,16.128,0.038951191095142536,3.18303141029395,1729.0,0.05633627605987588,0.1417240505363149,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-119 b,1.23,1.4,1600.0,WASP-119,0.0363,1.2,8.0,5650.0,1600.0,False,390.894,15.679999999999998,2.3344971468000001e+27,100009188.15999998,1.9277578743491417,1.061024,0.21448064,1.3479185158172833,2.548303320685652,1.9481109182514675,0.0026930411277858446,55850.93263309086,1193.8115699372865,1094.3576960405903,0.8478889518220146,0.25543727792237203,1327.0,0.07652083333333334,5430480000.0,5.201950132756565e-21,1464.3719925492996,0.078,0.09985406207105543,0.08892703103552771,0.0063393814526060905,6.33938145260609,6.345720834058696,3.169690726303045,0.09905938100529643,0.10452751288486306,0.09158634815394667,0.5571665466477881,15.679999999999998,0.10142992498027315,4.993777045220371,1600.0,0.0740516204872333,0.050400270569225324,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-12 b,1.47,1.9,2593.0,WASP-12,0.02344,1.657,1.7,6360.0,2593.0,False,467.166,21.279999999999998,2.7900087852e+27,135726755.35999998,6.159720840389435,1.0230781931000001,0.20396026873100004,2.45372620615256,4.671180541360212,3.5624533737563864,0.0009552818053304296,52411.15839857877,1519.7671419682858,594.6527345391495,0.9435771359393118,0.2739672416399456,2320.0,0.05583333333333334,3506624000.0,3.986325562247451e-20,11221.682941134188,0.05814,0.09887832609751708,0.07850916304875855,0.0028293959591677853,2.829395959167785,2.832225355126953,1.4146979795838925,0.09894046703616566,0.10164109737270673,0.08657372609228622,0.26639162075135386,21.279999999999998,0.048495521259757,4.686217890821049,2593.0,0.0330811552037978,0.058175231811572456,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-124 b,0.6,1.24,1400.0,WASP-124,0.0499,1.02,2.1,6050.0,1400.0,False,190.68,13.888,1.138779096e+27,88579566.656,1.073892027808598,1.078664,0.21674724,0.9977855654503923,1.8920057280177607,1.4448956467340766,0.005001074552273721,41448.29538775912,1116.7084697680111,688.8168031726765,0.9255457185414024,0.2759434418734853,1127.0,0.08068750000000001,7465040000.0,1.5335095185798184e-21,431.6897186644243,0.082,0.09995733081478764,0.09097866540739383,0.009516989071286758,9.516989071286758,9.526506060358045,4.758494535643379,0.09899323843280979,0.11032078405319254,0.09670850061999287,0.391156204280453,13.888,0.07120841101182479,3.7059998161654715,1400.0,0.08412497018070732,0.051710752152368526,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
WASP-126 b,0.2841,0.96,1480.0,WASP-126,0.0449,1.27,6.4,5800.0,1480.0,False,90.28698000000001,10.751999999999999,5.392119019560001e+26,68577729.02399999,2.36424998765936,1.07120576,0.21583465760000003,1.4856285884584757,2.8132286529982484,2.149428620728362,0.003022289712840631,32414.691457926583,1148.1712022505264,398.511160572021,0.9811361607415279,0.28940800174006426,1207.0,0.07902083333333335,6717040000.0,4.1699194167089e-21,1173.8507769547246,0.0804,0.09988311433787622,0.09014155716893811,0.0055016213616226285,5.501621361622629,5.507122982984251,2.7508106808113144,0.09903424232292,0.11212538485561926,0.09781509197884893,0.3991366085860778,10.751999999999999,0.0726612114624295,2.8982818101516887,1480.0,0.08472471745257427,0.06903876894630398,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
