planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-2084 b,0.02121,0.2204,527,TOI-2084,0.05006,0.475,7.5,3550,527
TOI-2136 b,0.0148,0.1865,378,TOI-2136,0.054,0.34,4.6,3342,378
TOI-2141 b,0.076,0.2721,722,TOI-2141,0.133,0.98,6.4,5659,722
TOI-2145 b,5.56,1.103,1484,TOI-2145,0.111,2.738,1.79,6189,1484
TOI-2152 b,2.83,1.281,1800,TOI-2152,0.05064,1.612,0.83,6630,1800
TOI-2154 b,0.92,1.453,1589,TOI-2154,0.0513,1.396,2.9,6280,1589
TOI-2158 b,0.82,0.96,1188,TOI-2158,0.074,1.41,8,5673,1188
TOI-2180 b,2.755,1.01,348,TOI-2180,0.828,1.636,8.1,5695,348
TOI-2193 b,0.94,1.77,1763,TOI-2193,0.03319,1.248,5.5,5966,1763
TOI-2196 b,0.082,0.3131,1860,TOI-2196,0.02234,1.043,4.5,5634,1860
TOI-220 b,0.0428,0.2694,806,TOI-220,0.0892,0.858,10.1,5298,806
TOI-2207 b,0.64,0.995,1259,TOI-2207,0.0854,1.564,3.3,6101,1259
TOI-2338 b,5.98,1,799,TOI-2338,0.158,1.05,7,5581,799
TOI-2364 b,0.225,0.768,1091,TOI-2364,0.04871,0.886,3.5,5306,1091
TOI-2373 b,9.3,0.93,860,TOI-2373,0.112,1.1,5.9,5651,860
TOI-2374 b,0.17821,0.607,810,TOI-2374,0.0471,0.69,4.1,4802,810
TOI-238 c,0.0211,0.1945,696,TOI-238,0.0749,0.75,6,5080,696
TOI-2497 b,5.21,1,1596,TOI-2497,0.1167,2.358,1,7360,1596
TOI-2498 b,0.10893,0.5406,1443,TOI-2498,0.0491,1.26,3.6,5905,1443
TOI-2524 b,0.64,1,1100,TOI-2524,0.073,1.12,6.7,5831,1100
TOI-257 b,0.134,0.626,1033,TOI-257,0.1523,1.926,3.11,6075,1033
TOI-2583 b,0.25,1.29,1456,TOI-2583A,0.0571,1.477,4.4,5936,1456
TOI-2587 b,0.218,1.077,1445,TOI-2587,0.0635,1.726,6.7,5760,1445
TOI-2589 b,3.5,1.08,592,TOI-2589,0.3,1.07,11,5579,592
TOI-263 b,61.6,0.91,1020,TOI-263,0.0098,0.405,4.75,3250,1020
TOI-2796 b,0.44,1.59,1205,TOI-2796,0.04089,1.069,4,5764,1205
TOI-2803 b,0.975,1.616,1893,TOI-2803,0.03185,1.245,3.7,6280,1893
TOI-2818 b,0.71,1.363,1376,TOI-2818,0.0493,1.229,9.5,5721,1376
TOI-2842 b,0.37,1.146,1471,TOI-2842,0.0475,1.265,4.7,5910,1471
TOI-2977 b,1.68,1.174,1544,TOI-2977,0.03386,1.073,9.8,5691,1544
TOI-3023 b,0.62,1.466,1596,TOI-3023,0.0505,1.668,7,5760,1596
TOI-3071 b,0.2146,0.6388,1971,TOI-3071,0.0249,1.31,4.9,6177,1971
TOI-332 b,0.18,0.285,1870,TOI-332,0.0159,0.87,5,5251,1870
TOI-3364 b,1.67,1.091,1264,TOI-3364,0.0675,1.419,5.4,5706,1264
TOI-3629 b,0.26,0.74,711,TOI-3629,0.043,0.6,7,3870,711
TOI-3688 b,0.98,1.167,1534,TOI-3688,0.0456,1.302,3.3,5950,1534
TOI-3714 b,0.689,0.994,764,TOI-3714,0.0263,0.51,2.9,3660,764
TOI-3757 b,0.2684,1.07,759,TOI-3757,0.03845,0.62,7.1,3913,759
TOI-3785 b,0.04704,0.4586,582,TOI-3785,0.043,0.5,8,3576,582
